,,Visual Properties,,,,,Labels,,,Graph Metrics,Do Not Edit,,Other Columns,,,,,,,,,,,,
Vertex 1,Vertex 2,Color,Width,Style,Opacity,Visibility,Label,Label Text Color,Label Font Size,Reciprocated?,ID,Dynamic Filter,Add Your Own Columns Here,Relationship,Relationship Date (UTC),Tweet,URLs in Tweet,Domains in Tweet,Hashtags in Tweet,Tweet Date (UTC),Twitter Page for Tweet,Latitude,Longitude,Imported ID,In-Reply-To Tweet ID
ful1i,hamkgaming,,,,,,,,,,,,,Mentions,28/05/2022 20:17,"RT @HamkGaming: Hämpton Games alkaa nyt! 
Nyt Verkatehtaalle jos et ole jo! #hämptongames #HAMKgaming #csgo https://t.co/c31xRKPhSp",,,hämptongames hamkgaming csgo,28/05/2022 20:17,https://twitter.com/#!/ful1i/status/1530644328640614402,,,1530644328640614402,
complexliquid,chdlvr,,,,,,,,,,,,,Replies to,28/05/2022 20:17,@chdlvr left val for csgo,,,,28/05/2022 20:17,https://twitter.com/#!/complexliquid/status/1530644335284211712,,,1530644335284211712,1530643828402683904
s1ntronics,lilpkle,,,,,,,,,,,,,Mentions,28/05/2022 20:15,"RT @LilPKLE: ? Flip Knife | Urban Masked ($118) Giveaway
??follow 
??retweet
??Drop a comment (show proof)
https://t.co/d0Y1rqWCRV

Rolling so…",https://www.youtube.com/watch?v=TEy6zANF3uM&feature=youtu.be,youtube.com,,28/05/2022 20:15,https://twitter.com/#!/s1ntronics/status/1530644069604634624,,,1530644069604634624,
s1ntronics,markcsgoyt,,,,,,,,,,,,,Mentions,28/05/2022 20:17,"RT @sku11ster: ?? AK-47 Slate (FN)
#CSGOGiveaway  ??

To Enter:

?-Retweet &amp; Follow: @Markcsgoyt
?-Like &amp; Sub:
https://t.co/plnEqjIEyO
(Post…",https://www.youtube.com/watch?v=OgSuM_IE_cM&feature=youtu.be,youtube.com,csgogiveaway,28/05/2022 20:17,https://twitter.com/#!/s1ntronics/status/1530644358453673985,,,1530644358453673985,
s1ntronics,sku11ster,,,,,,,,,,,,,Mentions,28/05/2022 20:17,"RT @sku11ster: ?? AK-47 Slate (FN)
#CSGOGiveaway  ??

To Enter:

?-Retweet &amp; Follow: @Markcsgoyt
?-Like &amp; Sub:
https://t.co/plnEqjIEyO
(Post…",https://www.youtube.com/watch?v=OgSuM_IE_cM&feature=youtu.be,youtube.com,csgogiveaway,28/05/2022 20:17,https://twitter.com/#!/s1ntronics/status/1530644358453673985,,,1530644358453673985,
iukkkky,valentinn007,,,,,,,,,,,,,Mentions,28/05/2022 20:17,RT @Valentinn007: Volvi a jugar CSGO después de meses https://t.co/uzY60R6pZi,,,,28/05/2022 20:17,https://twitter.com/#!/iukkkky/status/1530644383334166529,,,1530644383334166529,
tomytenu,keydropcom,,,,,,,,,,,,,Mentions,28/05/2022 20:14,"RT @keydropcom: Giveaway on M4A1-S | Leaded Glass??

?? Just leave ?? under the post! 
?? Follow us!
?? Retweet!
 
? Wait 24 hours!

#freeskins…",,,freeskins,28/05/2022 20:14,https://twitter.com/#!/tomytenu/status/1530643631190818823,,,1530643631190818823,
tomytenu,idleheroestt,,,,,,,,,,,,,Mentions,28/05/2022 20:16,"RT @IdleHeroesTT: ??60$ StatTrak™ USP-S | Neo-Noir GIVEAWAY??

??Follow Me
??RT + TAG 1 
??Show some Love on the new CSBRO video!
(must show…",,,,28/05/2022 20:16,https://twitter.com/#!/tomytenu/status/1530644126076649474,,,1530644126076649474,
tomytenu,markcsgoyt,,,,,,,,,,,,,Mentions,28/05/2022 20:16,"RT @sku11ster: ?? AK-47 Slate (FN)
#CSGOGiveaway  ??

To Enter:

?-Retweet &amp; Follow: @Markcsgoyt
?-Like &amp; Sub:
https://t.co/plnEqjIEyO
(Post…",https://www.youtube.com/watch?v=OgSuM_IE_cM&feature=youtu.be,youtube.com,csgogiveaway,28/05/2022 20:16,https://twitter.com/#!/tomytenu/status/1530644242409865219,,,1530644242409865219,
tomytenu,sku11ster,,,,,,,,,,,,,Mentions,28/05/2022 20:16,"RT @sku11ster: ?? AK-47 Slate (FN)
#CSGOGiveaway  ??

To Enter:

?-Retweet &amp; Follow: @Markcsgoyt
?-Like &amp; Sub:
https://t.co/plnEqjIEyO
(Post…",https://www.youtube.com/watch?v=OgSuM_IE_cM&feature=youtu.be,youtube.com,csgogiveaway,28/05/2022 20:16,https://twitter.com/#!/tomytenu/status/1530644242409865219,,,1530644242409865219,
